iter	MultiClass
0	1.07081678
1	1.045427757
2	1.022220105
3	1.001713375
4	0.9816646194
5	0.9635575564
6	0.9462949473
7	0.931079323788	0.916566687899	0.9027175189110	0.8899422727111	0.8776625474112	0.8665449122113	0.855909753
14	0.8456758698
15	0.8359819876
16	0.825597577
17	0.8159878022
18	0.8067811699
19	0.7980229797
20	0.7902376834
21	0.7824711483
22	0.7750655519
23	0.768815082
24	0.7625265567
25	0.7565318718
26	0.7505680842
27	0.7451763289
28	0.7400726383
29	0.7354534514
30	0.7309749913
31	0.7264578729
32	0.722752835
33	0.7185506245
34	0.714573498
35	0.7106900149
36	0.7073915202
37	0.7042328698
38	0.7009757972
39	0.6979230692
40	0.6950759893
41	0.6920716153
42	0.6894416931
43	0.686835489
44	0.6840610532
45	0.6811834518
46	0.6785948117
47	0.6753503594
48	0.6724923307
49	0.6697425853
4429
