iter	Passed	Remaining
0	2145	105146
1	4068	97634
2	5998	93981
3	7952	91451
4	9684	87160
5	11542	84641
6	13519	83050
7	15525	81511
8	17501	79729
9	19456	77827
10	21413	75919
11	23446	74247
12	25270	71922
13	27106	69701
14	28922	67486
15	30653	65139
16	32455	63001
17	34220	60835
18	35925	58616
19	37631	56447
20
21	40795	51921
22	42510	49903
23	44194	47877
24	45911	45911
25
26	49349	42038
27	51123	40168
28	52897	38305
29	54747	36498
30	56543	34655
31	58314	32801
32	60124	30973
33	61904	29131
34	63687	27294
35
36	67406	23683
37	69087	21817
38	70918	20002
39	72822	18205
40
41	76355	14543
42	78036	12703
43	79874	10891
44	81740	9082
45
46	85240	5440
47	87267	3636
48
49	90891	0
