iter	MultiClass
0	1.077010352
1	1.056564816
2	1.03649455
3	1.01814179
4	1.000659035
5	0.9843183724
6	0.9690172106
7	0.9547560597
8	0.9412130298
9	0.9285310723
10	0.9164749177
11	0.9049296181
12	0.894081885
13	0.8838260509
14	0.8741631669
15	0.8647108875
16	0.8557724717
17	0.8475019816
18	0.8393606868
19	0.8317840682
20	0.8241627598
21	0.8163044229
22	0.8091273657
23	0.8020653332
24	0.7952356472
25	0.7887361397
26	0.7827738225
27	0.777140935
28	0.7715029901
29	0.7660116763
30	0.7605624432
31	0.7556911358
32	0.7504181203
33	0.7452289841
34	0.7403573477
35	0.7355308704
36	0.7309271985
37	0.726705155
38	0.7227785532
39	0.7188408543
40	0.7151959753
41	0.7118304444
42	0.7083281649
43	0.7053173965
44	0.7013085945
45	0.6975711606
46	0.6941849827
47	0.6908708568
48	0.6874754177
49	0.6846702967
