iter	Passed	Remaining
0	12	12109
1	21	10877
2	32	10894
3	42	10645
4	52	10450
5	63	10599
6	74	10560
7	84	10485
8	94	10388
9	104	10325
10	114	10291
11	124	10289
12	134	10241
13	144	10210
14	154	10158
15	164	10139
16	175	10140
17	185	10135
18	195	10119
19	205	10085
20	216	10081
21	226	10068
22	236	10046
23	246	10021
24	256	9991
25	266	9980
26	276	9963
27	286	9942
28	297	9953
29	308	9990
30	318	9962
31	328	9951
32	338	9928
33	348	9901
34	358	9885
35	368	9869
36	378	9853
37	388	9836
38	399	9832
39	409	9821
40	419	9801
41	429	9799
42	439	9783
43	449	9760
44	459	9750
45	469	9729
46	479	9723
47	489	9707
48	499	9688
49	510	9699
50	519	9675
51	530	9668
52	540	9653
53	549	9632
54	560	9627
55	570	9614
56	580	9597
57	590	9587
58	600	9570
59	610	9569
60	620	9553
61	630	9537
62	640	9526
63	650	9512
64	660	9504
65	670	9494
66	680	9476
67	690	9458
68	699	9443
69	710	9442
70	720	9431
71	730	9415
72	741	9418
73	754	9440
74	765	9437
75	775	9430
76	786	9425
77	797	9425
78	810	9447
79	821	9450
80	831	9438
81	842	9427
82	852	9416
83	862	9403
84	872	9394
85	882	9378
86	891	9360
87	902	9348
88	912	9338
89	922	9325
90	932	9311
91	942	9300
92	952	9291
93	962	9276
94	972	9262
95	981	9247
96	991	9233
97	1002	9223
98	1011	9203
99	1022	9200
100	1031	9185
101	1042	9176
102	1053	9173
103	1062	9155
104	1073	9146
105	1082	9131
106	1092	9115
107	1102	9104
108	1112	9093
109	1123	9088
110	1132	9072
111	1142	9058
112	1152	9045
113	1161	9030
114	1171	9016
115	1181	9001
116	1191	8988
117	1201	8977
118	1210	8964
119	1220	8951
120	1230	8937
121	1240	8929
122	1250	8918
123	1260	8905
124	1273	8911
125	1284	8910
126	1295	8903
127	1309	8918
128	1320	8914
129	1330	8902
130	1340	8894
131	1351	8886
132	1361	8875
133	1371	8865
134	1382	8856
135	1392	8844
136	1402	8834
137	1412	8821
138	1422	8814
139	1432	8801
140	1442	8788
141	1453	8780
142	1462	8767
143	1473	8758
144	1483	8749
145	1493	8735
146	1504	8727
147	1513	8712
148	1523	8700
149	1533	8692
150	1543	8676
151	1554	8672
152	1565	8664
153	1574	8650
154	1585	8642
155	1594	8628
156	1605	8619
157	1616	8612
158	1625	8598
159	1635	8588
160	1646	8577
161	1656	8567
162	1666	8555
163	1675	8542
164	1686	8534
165	1696	8525
166	1706	8511
167	1716	8501
168	1726	8487
169	1736	8478
170	1747	8470
171	1756	8457
172	1768	8452
173	1777	8438
174	1787	8428
175	1799	8426
176	1809	8412
177	1820	8404
178	1830	8397
179	1840	8384
180	1851	8375
181	1861	8365
182	1872	8357
183	1882	8348
184	1892	8336
185	1902	8327
186	1913	8318
187	1923	8306
188	1933	8297
189	1944	8287
190	1954	8277
191	1965	8269
192	1974	8256
193	1986	8251
194	1997	8244
195	2006	8232
196	2017	8224
197	2028	8215
198	2038	8203
199	2049	8197
200	2060	8189
201	2070	8177
202	2081	8170
203	2090	8157
204	2100	8146
205	2111	8136
206	2120	8124
207	2130	8113
208	2140	8101
209	2150	8090
210	2161	8081
211	2170	8067
212	2181	8059
213	2190	8046
214	2201	8038
215	2212	8029
216	2221	8017
217	2232	8008
218	2243	8002
219	2258	8008
220	2269	8000
221	2282	7998
222	2293	7992
223	2309	7999
224	2319	7988
225	2330	7982
226	2341	7972
227	2350	7959
228	2361	7950
229	2371	7940
230	2383	7933
231	2394	7925
232	2403	7912
233	2414	7903
234	2424	7893
235	2434	7881
236	2444	7870
237	2454	7858
238	2465	7849
239	2475	7840
240	2485	7827
241	2495	7817
242	2506	7807
243	2516	7796
244	2526	7786
245	2535	7772
246	2546	7764
247	2557	7755
248	2567	7742
249	2577	7731
250	2586	7719
251	2597	7708
252	2607	7697
253	2616	7685
254	2627	7677
255	2637	7663
256	2647	7654
257	2658	7646
258	2668	7633
259	2678	7623
260	2689	7613
261	2698	7601
262	2709	7592
263	2718	7579
264	2729	7569
265	2739	7559
266	2749	7548
267	2760	7539
268	2769	7526
269	2779	7516
270	2790	7507
271	2800	7495
272	2810	7485
273	2821	7475
274	2830	7462
275	2841	7453
276	2850	7440
277	2861	7430
278	2871	7420
279	2880	7408
280	2892	7401
281	2906	7399
282	2916	7388
283	2926	7377
284	2935	7364
285	2945	7354
286	2955	7343
287	2965	7331
288	2975	7320
289	2984	7307
290	2994	7296
291	3005	7286
292	3014	7274
293	3025	7265
294	3037	7257
295	3046	7246
296	3057	7237
297	3066	7224
298	3077	7214
299	3087	7205
300	3097	7193
301	3107	7183
302	3117	7170
303	3127	7159
304	3138	7150
305	3147	7138
306	3158	7130
307	3168	7119
308	3178	7107
309	3188	7097
310	3197	7084
311	3208	7074
312	3218	7063
313	3228	7052
314	3238	7042
315	3248	7030
316	3259	7021
317	3269	7012
318	3279	7001
319	3289	6991
320	3300	6980
321	3309	6969
322	3320	6958
323	3329	6946
324	3339	6935
325	3349	6925
326	3359	6914
327	3369	6904
328	3379	6892
329	3389	6882
330	3400	6873
331	3410	6861
332	3420	6851
333	3429	6838
334	3440	6829
335	3450	6819
336	3460	6808
337	3471	6798
338	3482	6789
339	3491	6777
340	3501	6767
341	3511	6755
342	3521	6745
343	3532	6736
344	3542	6725
345	3553	6716
346	3563	6705
347	3574	6696
348	3584	6687
349	3594	6676
350	3605	6666
351	3616	6656
352	3626	6646
353	3636	6636
354	3646	6624
355	3656	6615
356	3667	6605
357	3677	6594
358	3687	6584
359	3698	6575
360	3708	6563
361	3718	6554
362	3728	6542
363	3738	6532
364	3749	6523
365	3759	6512
366	3769	6502
367	3780	6492
368	3791	6483
369	3802	6473
370	3812	6463
371	3822	6452
372	3832	6443
373	3842	6431
374	3852	6421
375	3862	6410
376	3872	6399
377	3885	6393
378	3895	6382
379	3905	6371
380	3915	6361
381	3924	6349
382	3936	6341
383	3946	6330
384	3955	6319
385	3966	6308
386	3975	6297
387	3985	6287
388	3996	6276
389	4006	6266
390	4016	6256
391	4026	6245
392	4037	6236
393	4048	6226
394	4058	6216
395	4068	6206
396	4079	6196
397	4089	6185
398	4100	6176
399	4110	6166
400	4120	6155
401	4131	6145
402	4140	6134
403	4151	6124
404	4161	6114
405	4171	6103
406	4181	6093
407	4191	6081
408	4201	6071
409	4212	6062
410	4222	6051
411	4232	6041
412	4243	6031
413	4253	6020
414	4263	6010
415	4273	5999
416	4284	5990
417	4295	5980
418	4305	5969
419	4316	5960
420	4326	5950
421	4336	5939
422	4346	5929
423	4356	5918
424	4367	5908
425	4377	5898
426	4387	5888
427	4398	5878
428	4409	5868
429	4419	5858
430	4430	5848
431	4439	5837
432	4449	5826
433	4460	5817
434	4469	5805
435	4480	5795
436	4490	5785
437	4500	5774
438	4510	5764
439	4521	5754
440	4531	5744
441	4542	5734
442	4552	5723
443	4562	5713
444	4573	5704
445	4584	5694
446	4594	5683
447	4603	5672
448	4613	5662
449	4624	5652
450	4634	5641
451	4645	5631
452	4654	5620
453	4665	5610
454	4675	5600
455	4685	5589
456	4696	5580
457	4706	5570
458	4716	5559
459	4727	5549
460	4736	5538
461	4747	5528
462	4758	5518
463	4768	5508
464	4779	5499
465	4790	5489
466	4799	5478
467	4810	5467
468	4819	5457
469	4830	5447
470	4842	5438
471	4851	5427
472	4862	5417
473	4872	5406
474	4881	5395
475	4892	5385
476	4901	5374
477	4912	5364
478	4923	5354
479	4932	5343
480	4944	5334
481	4954	5324
482	4964	5314
483	4975	5303
484	4984	5293
485	4995	5283
486	5005	5273
487	5015	5262
488	5026	5252
489	5036	5241
490	5046	5231
491	5057	5221
